ID,Denumire,Ordine,Logo,CUI,Adresa,Judet,UAT,tip-partid
PSD,Partidul Social Democrat,1,PSD.jpg,14167182,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Șos. Dimitrievici Pavel Kiseleff, nr. 10, CP011346",B,București,
PNL,Partidul Național Liberal,2,PNL.jpg,34058872,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Aleea Modrogan, nr. 1, CP011825",B,București,
USR,Uniunea Salvați Romania,3,USR.jpg,36420951,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Bd. Aviatorilor, nr. 9, CP011852",B,București,
AUR,Alianța pentru Unirea Românilor,4,AUR.png,41978661,"ILFOV, TUNARI, str. SAT TUNARI, STR.GENEVA, nr. 20, ap. 1",IF,,
UDMR,Uniunea Democrată Maghiară din România,5,UDMR.jpg,4194635,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Dr Lister, nr. 57, CP011955",B,București,minoritati
SOSRO,S.O.S. ROMANIA,6,SOSRO.png,46178090,"Strada Crișan, Orașul Călimăneşti, Județul Vâlcea",VL,,
POT,Partidul Oamenilor Tineri,7,POT.png,48519291,,,,
PMP,Partidul Mișcarea Populară,8,PMP.jpg,32765141,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Nicolae Iorga, nr. 11, CP010432",B,București,
PDL,Partidul Democrat Liberal,,PDL.jpg,4259378,"Strada Modrogan, Sector 1, Municipiul București",B,București,
PROEUROPA,"PARTIDA ROMILOR ""PRO-EUROPA""",,PROEUROPA.jpg,7505450,,,,minoritati
PSD+PC,Alianța politica PSD+PC,,PSD+PC.jpg,24596572,"Bulevardul Ion Ionescu de la Brad, Sector 1, Municipiul București",B,București,
UUR,Uniunea Ucrainenilor din România,,UUR.jpg,4666665,"Strada Radu Popescu, Sector 1, Municipiul București",B,București,minoritati
FDGR,Forumul Democrat al Germanilor din Romania,,FDGR.jpg,4846283,,,,minoritati
ALDE,PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR,,ALDE.jpg,35648065,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Sos.Pavel D.Kiseleff, nr. 57, CP011344",,București,
CRLR,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA,,CRLR.jpg,4501705,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Doctor Ratiu, nr. 10, CP010916",B,București,minoritati
USAR,UNIUNEA SÂRBILOR DIN ROMÂNIA,,USAR.jpg,4481721,"Strada Mangalia, Municipiul Timișoara, Județul Timiș",TM,Timișoara,minoritati
UDSCR,UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA,,UDSCR.jpg,3218132,"ARAD, ORAŞ NĂDLAC, str. INDEPENDENTEI, nr. 36",AD,,minoritati
UER,UNIUNEA ELENĂ DIN ROMÂNIA,,UER.jpg,4400751,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Vasile Alecsandri, nr. 8, CP10639",B,București,minoritati
UBB,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA,,UBB.jpg,4663464,"TIMIŞ, MUNICIPIUL TIMIŞOARA, str. Piața Unirii, nr. 14",TM,Timișoara,minoritati
UCR,UNIUNEA CROAȚILOR DIN ROMÂNIA,,UCR.jpg,5004909,"Strada Principală, Satul Carașova, Comuna Carașova, Județul Caraș-Severin",,,minoritati
AMR,ASOCIAȚIA MACEDONENILOR DIN ROMÂNIA,,AMR.jpg,13449134,"Strada Thomas Masaryk, Sector 2, Municipiul București",,București,minoritati
ROASIT,ASOCIAȚIA ITALIENILOR DIN ROMÂNIA,,ROASIT.jpg,8736496,"Strada Petru Rareș, Municipiul Suceava, Județul Suceava",SV,,minoritati
ALAR,Asociaţia Liga Albanezilor din România,,ALAR.jpg,12351536,,,,minoritati
UAR,Uniunea Armenilor din România,,UAR.jpg,4667245,,,,minoritati
PUSL,Partidul Umanist Social Liberal,,PUSL.png,35146514,"Piața Presei Libere, Sector 1, Municipiul București",B,București,
PNTCD,PARTIDUL NATIONAL TARANESC CRESTIN DEMOCRAT,,PNTCD.jpg,4314936,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. BDUL CAROL I, nr. 24, CP020912",B,București,
PIN,PARTIDUL INITIATIVA ROMANIA,,lipsa.jpg,17837813,,,,
APP,Alianta pentru Patrie,,APP.jpg,45238011,"Bulevardul Mihai Eminescu, Municipiul Botoşani, Județul Botoșani",BT,,
FDREPTEI,Forta Dreptei,,FDREPTEI.jpg,45701620,"Strada Izvoare, Municipiul Ploiești, Județul Prahova",PH,,
PNTTD,PARTIDUL NAȚIONAL DEMOCRAT CREȘTIN,,lipsa.jpg,7433028,"Strada Antim Ivireanu, Sector 5, Municipiul București",B,București,
PPRO,PARTIDUL PRO ROMÂNIA,,PPRO.jpg,39022160,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. GINA PATRICHI, nr. 10",B,București,
PDU,PARTIDUL DIASPORA UNITĂ,,lipsa.jpg,43171730,"MUNICIPIUL BUCUREŞTI, SECTORUL 2, MUNICIPIUL BUCUREŞTI, SECTORUL 2, str. SOS.VERGULUI, nr. 67, bl. 15D, ap. 54",B,București,
PNRO,PARTIDUL NOUA ROMÂNIE,,lipsa.jpg,34940443,"MUNICIPIUL BUCUREŞTI, SECTORUL 3, str. Halelor, nr. 17, ap. 1B, CP030118",B,București,
PNGCD,PARTIDUL NOUA GENERAȚIE - CREȘTIN DEMOCRAT,,PNGCD.jpg,12622830,"MUNICIPIUL BUCUREŞTI, SECTORUL 3, str. Blanari, nr. 21-23",B,București,
PPPS,PARTIDUL POPULAR ȘI AL PROTECȚIEI SOCIALE,,lipsa.jpg,8501392,"Strada Academiei, Sector 3, Municipiul București",B,București,
PNREP,PARTIDUL NOUA REPUBLICĂ,,lipsa.jpg,31388973,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Schitu Măgureanu, nr. 17, ap. 1, CP10182",B,București,
ANR,ALIANȚA NOASTRĂ ROMÂNIA,,lipsa.jpg,36414623,"MUNICIPIUL BUCUREŞTI, SECTORUL 5, str. SABINELOR, nr. 31, bl. CORP A, ap. 2",,București,
PPMT,PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,,lipsa.jpg,29378420,"CLUJ, MUNICIPIUL CLUJ-NAPOCA, str. Suceava, nr. 17, CP400219",CJ,Cluj-Napoca,
PRU,PARTIDUL ROMÂNIA UNITĂ,,PRU.jpg,34494529,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Bdl. Alexandru I. Cuza, nr. 41, CP011051",B,București,
PACT,Partidul Platforma Acțiunea Civică a Tinerilor,,lipsa.jpg,35971650,"Șoseaua Nicolae Titulescu, Sector 1, Municipiul București",B,București,
ACD,PARTIDUL ALIANȚA CREȘTIN DEMOCRATĂ,,lipsa.jpg,41590782,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. SMOCHINULUI, nr. 32",,București,
PANA,PARTIDUL ACȚIUNEA NAȚIONALĂ ALBA,,lipsa.jpg,41383850,"ALBA, IGHIU, str. SAT BUCERDEA VINOASA, STR. PRINCIPALA, nr. 105, CP517361",AB,,
PAE,PARTIDUL ALTERNATIVA ECOLOGISTĂ,,lipsa.jpg,14950388,"Strada Ady Endre, Sector 1, Municipiul București",B,București,
PSRO,PARTIDUL SOCIAL ROMÂNESC,,PSRO.jpg,32449521,"MUNICIPIUL BUCUREŞTI, SECTORUL 5, str. ALEEA BOTORANI, nr. 7, bl. V37, ap. 25",B,București,
PLUS,"PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE",,PLUS.jpg,40337570,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. FINLANDA, nr. 15",B,București,
ANT,ALIANȚA NAȚIONAL ȚARANISTĂ,,lipsa.jpg,35718837,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. N.CONSTANTINESCU, nr. 7, bl. 14A, ap. 14",,București,
UNPR,UNIUNEA NAȚIONALĂ PENTRU PROGRESUL ROMÂNIEI,,UNPR.jpg,27494526,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. GHEORGHE BRATIANU, nr. 7",B,București,
PPOP,PARTIDUL POPULAR,,lipsa.jpg,15726665,"Strada Pecetei, Sector 1, Municipiul București",B,București,
PALTERNATIVAD,PARTIDUL ALTERNATIVA DREAPTĂ,,lipsa.jpg,41716377,"MUNICIPIUL BUCUREŞTI, SECTORUL 3, str. Bulevardul Corneliu Coposu, nr. 1D, ap. 21",B,București,
ANA,ALIANȚA NAȚIONALĂ A AGRICULTORILOR,,lipsa.jpg,,"ILFOV, ORAŞ BRAGADIRU, str. TOPAZ, nr. 13B",IF,,
PPUSL,PARTIDUL PUTERII UMANISTE,,PUSL.jpg,35146514,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Piata Presei Libere, nr. 1, bl. corp D1, CP013701",B,București,
PCG,PARTIDUL CORECTEI GUVERNĂRI,,lipsa.jpg,40694122,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Calea Victoriei, nr. 155, bl. D1",B,București,
PB2020,PARTIDUL BUCURESTI 2020,,lipsa.jpg,42963715,"MUNICIPIUL BUCUREŞTI, SECTORUL 3, str. CALEA VITAN, nr. 154-158, ap. CAMERA 1",B,București,
PND,PARTIDUL NAȚIONAL DEMOCRAT,,lipsa.jpg,34914681,"MUNICIPIUL BUCUREŞTI, SECTORUL 2, str. Sos. Pantelimon, nr. 361, CP21625",B,București,
PREFORMATOR,PARTIDUL REFORMATOR,,lipsa.jpg,38692588,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Ion Campineanu, nr. 3A",B,București,
PPPATRIE,PARTIDUL PENTRU PATRIE,,lipsa.jpg,8742374,"Veseliei, Sector 5, Municipiul București",B,București,
PPG,PARTIDUL PACT PENTRU GALAȚI,,lipsa.jpg,41558390,"GALAŢI, MUNICIPIUL GALAŢI, str. Domnească, nr. 50A, CP800008",,,
PRP,PARTIDUL ROMÂNILOR DE PRETUTINDENI,,lipsa.jpg,35744844,"MUNICIPIUL BUCUREŞTI, SECTORUL 3, str. Cosla, nr. 6, bl. A8, ap. 38, CP617390",B,București,
PCMMPP,PARTIDUL CIVIC MAGHIAR,,lipsa.jpg,23650304,"HARGHITA, MUNICIPIUL ODORHEIU SECUIESC, str. KOSSUTH LAJOS, nr. 20, CP535600",HG,,
PALS,PARTIDUL ALIANȚA SOCIALISTĂ,,lipsa.jpg,16322070,"Șoseaua Berceni, Sector 4, Municipiul București",B,București,
PER,PARTIDUL ECOLOGIST ROMÂN,,PER.jpg,4801052,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. CALEA VICTORIEI, nr. 91-93",B,București,
PIA,PARTIDUL PRAHOVA IN ACȚIUNE,,lipsa.jpg,41855553,"PRAHOVA, MUNICIPIUL PLOIEŞTI, str. ABRUD, nr. 32, CP100136",,,
PSR,PARTIDUL SOCIALIST ROMÂN,,lipsa.jpg,33875187,"MUNICIPIUL BUCUREŞTI, SECTORUL 2, str. Olari, nr. 12, CP024057",B,București,
PRC,PARTIDUL REPUBLICAN CONSERVATOR,,lipsa.jpg,41046471,"BRAŞOV, MUNICIPIUL SĂCELE, str. Bolnoc, nr. 201",BV,Săcele,
PUIS,PARTIDUL UNIUNEA INDEPENDENTA PENTRU SIGHISOARA,,lipsa.jpg,35991771,"MUREŞ, MUNICIPIUL SIGHIŞOARA, str. Tabacarilor, nr. 10, CP545400",,,
PFDIN,PARTIDUL FRONTUL DEMNITATII SI IDENTITATII NATIONALE,,lipsa.jpg,36049757,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. WALTER MARACINEANU, nr. 1-3, ap. CAM 104 SI 108",B,București,
PNTMM,PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU MIHALACHE,,lipsa.jpg,36798702,"MUNICIPIUL BUCUREŞTI, SECTORUL 2, str. DAVID PRAPORGESCU, nr. 29, ap. 4",B,București,
PUIT,PARTIDUL UNIUNEA INDEPENDENTA PENTRU TECUCI,,lipsa.jpg,40048245,"GALAŢI, MUNICIPIUL TECUCI, str. Stefan Octavian Iosif, nr. 2C, CP805300",,,
PPQ,Partidul Patriotilor Qanon,,lipsa.jpg,46752281,"Strada Arieș, Municipiul Baia Mare, Județul Maramureș",,,
POL,PARTIDUL OAMENILOR LIBERI,,lipsa.jpg,35203318,"MUREŞ, MUNICIPIUL TÎRGU MUREŞ, str. POSTEI, nr. 1, CP540043",,,
PIL,PARTIDUL IALOMIȚENILOR,,lipsa.jpg,35933991,"IALOMIŢA, MUNICIPIUL SLOBOZIA, str. Matei Basarab,, nr. 59",,,
UB,UNIUNEA PENTRU BUCOVINA,,lipsa.jpg,40521601,"SUCEAVA, MUNICIPIUL SUCEAVA, str. Stefan cel Mare, nr. 20A, camera 2",SV,,
PSI,PARTIDUL SOCIETĂȚII IEȘENE,,lipsa.jpg,35906598,"IAŞI, MUNICIPIUL IAŞI, str. Bdul Nicolae Iorga, nr. 18, bl. L2, ap. 2, CP700260",,,
PVERDE,PARTIDUL VERDE,,lipsa.jpg,18351683,"MUNICIPIUL BUCUREŞTI, SECTORUL 3, str. Lipscani, nr. 19, ap. 106",B,București,
PGJ,PARTIDUL GORJENILOR,,lipsa.jpg,39165012,"GORJ, MUNICIPIUL TÎRGU JIU, str. Tudor Vladimirescu, CP210002",,,
PNEOL,PARTIDUL NEOLIBERAL,,lipsa.jpg,38417340,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Vorniceni, nr. 30, CP013856",B,București,
REZIST,PARTIDUL REZIST,,lipsa.jpg,40119630,"TIMIŞ, MUNICIPIUL TIMIŞOARA, str. Simion Bărnuțiu, nr. 20, ap. 29, CP300303",TM,Timișoara,
ADER,PARTIDUL ADER LA DEMOCRAȚIE EDUCAȚIE SI RECONSTRUCȚIE,,lipsa.jpg,41745330,"MUNICIPIUL BUCUREŞTI, SECTORUL 2, str. DUMITRU SLUGERU, nr. 4",,București,
PSPR,PARTIDUL SOCIAL POPULAR - ROMÂN,,lipsa.jpg,40894490,"SUCEAVA, MUNICIPIUL RĂDĂUŢI, str. PUTNEI, nr. 178C, CP725400",,,
PRM,PARTIDUL ROMÂNIA MARE,,PRM.jpg,7432545,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Vasile Lascar, nr. 16",B,București,
ARN,PARTIDUL ALIANȚA RENAȘTEREA NAȚIONALĂ,,lipsa.jpg,43245721,"TIMIŞ, MUNICIPIUL TIMIŞOARA, str. PIATA PLEVNEI, nr. 4, ap. SAD",TM,Timișoara,
PPR,PARTIDUL POLITIC REALITATEA,,lipsa.jpg,,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. G-ral Constantin Budisteanu, nr. 11bis, ap. camera 21",B,București,
PNROMAN,PARTIDUL NAȚIONAL ROMÂN,,lipsa.jpg,38123426,"ILFOV, SNAGOV, str. Intr.Matei Corvin(sat Ciofliceni), nr. 4",,,
PM,PARTIDUL MONARHIST,,lipsa.jpg,1000177,"MUNICIPIUL BUCUREŞTI, SECTORUL 5, str. Amurgului, nr. 91, CP51986",B,București,
UCDR,UNIUNEA CREȘTIN DEMOCRATĂ DIN ROMÂNIA,,lipsa.jpg,,"CLUJ, MUNICIPIUL CLUJ-NAPOCA, str. Colonia Breaza, nr. 22A, bl. S25, CP400253",CJ,Cluj-Napoca,
PRDIASPORA,PARTIDUL ROMÂNILOR DIN DIASPORA,,lipsa.jpg,44586506,"PRAHOVA, FLOREŞTI, str. SAT CAP ROSU, nr. 42",,,
PDLIB,PARTIDUL DREAPTA LIBERALA,,lipsa.jpg,41033935,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Siriului, nr. 74-76, CP14354",B,București,
PNS,PARTIDUL NAȚIONAL SOCIALIST,,lipsa.jpg,36116368,"MUNICIPIUL BUCUREŞTI, SECTORUL 6, str. Chitila Triaj, nr. 4",B,București,
PSDM,PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR,,lipsa.jpg,13052907,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Piata Walter Mărăcineanu, nr. 1-3, Intrarea 5, ap. 4, CP10155",B,București,
PRN,PARTIDUL ROMÂNIA NOASTRĂ,,lipsa.jpg,39308155,"MUNICIPIUL BUCUREŞTI, SECTORUL 4, str. Serg. Maj.Samoilă Dumitru, nr. 3, bl. 125, ap. 23",B,București,
PFN,PARTIDUL FORTA NATIONALA,,lipsa.jpg,36282328,"MUNICIPIUL BUCUREŞTI, SECTORUL 2, str. Vergului, nr. 65, bl. 17, ap. 207",B,București,
PVTF,PARTIDUL VIITORUL TARII FAGARASULUI,,lipsa.jpg,46100490,"BRAŞOV, MUNICIPIUL FĂGĂRAŞ, str. Tabacari, bl. 4, ap. 1",BV,,
PROIAȘI,PARTIDUL PRO IAȘI,,lipsa.jpg,42111250,"IAŞI, MUNICIPIUL IAŞI, str. Titu Maiorescu, nr. 10, ap. 12",IS,,
PNPP,PARTIDUL NAȚIONAL PENTRU PATRIE,,lipsa.jpg,34877940,"ILFOV, ORAŞ MĂGURELE, str. Sat Dumitrana, Str.Duzilor, nr. 40",,,
PDDR,PARTIDUL DEMOCRAȚIE DIRECTĂ ROMÂNIA,,lipsa.jpg,35357716,"MUNICIPIUL BUCUREŞTI, SECTORUL 2, str. AUREL VLAICU, nr. 154, ap. 3, CP20099",B,București,
PNR,PARTIDUL NEAMUL ROMÂNESC,,lipsa.jpg,,"MUNICIPIUL BUCUREŞTI, SECTORUL 2, str. CALEA MOȘILOR, nr. 115, ap. 2",B,București,
AER,PARTIDUL ALIANTA PENTRU EDUCATIE SI REFORMA,,lipsa.jpg,42624565,"MUNICIPIUL BUCUREŞTI, SECTORUL 2, str. SOS.PANTELIMON, nr. 255, bl. 43",,București,
DEMOS,PARTIDUL DEMOCRAȚIEI ȘI SOLIDARITAȚII-DEMOS,,DEMOS.jpeg,40059406,"MUNICIPIUL BUCUREŞTI, SECTORUL 3, str. STELEA SPĂTARUL, nr. 13, CP030211",B,București,
PDAR,PARTIDUL DACISMULUI AUTONOM CONSERVATOR,,lipsa.jpg,36185414,"MUNICIPIUL BUCUREŞTI, SECTORUL 5, str. Teius, bl. 10, ap. 24, CP51391",B,București,
PDEMINTATIIN,PARTIDUL DEMNITATII NATIONALE,,lipsa.jpg,,"DOLJ, MUNICIPIUL CRAIOVA, str. FORTUNESCU, nr. 3",,,
